,Name,Price,Link,Rating,Total Reviews,Description
0,Lenovo Legion 5 Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForc...,"₹63,990",https://www.flipkart.com/lenovo-legion-5-ryzen-hexa-core-4600h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-120-hz-15arh05-gaming-laptop/p/itmb78cdb12e2bfc?pid=COMGY8Y5AV5W5YKG&lid=LSTCOMGY8Y5AV5W5YKGBNDOLF&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMGY8Y5AV5W5YKG.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.6,226 Ratings & 33 Reviews,AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty
1,Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) S145-15API Thin and Ligh...,"₹25,990",https://www.flipkart.com/lenovo-ideapad-s145-ryzen-3-dual-core-3200u-4-gb-1-tb-hdd-windows-10-home-s145-15api-thin-light-laptop/p/itmde2a9a39f628a?pid=COMFW497RZVXQDBU&lid=LSTCOMFW497RZVXQDBU7L7SF5&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMFW497RZVXQDBU.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.3,12 Ratings & 2 Reviews,AMD Ryzen 3 Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayNA1 Year Onsite Warranty
2,Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) S145-15API Laptop,"₹25,990",https://www.flipkart.com/lenovo-ideapad-s145-ryzen-3-dual-core-3200u-4-gb-1-tb-hdd-windows-10-home-s145-15api-laptop/p/itmd6d9c44639f7a?pid=COMFS9YWTUCW6DEH&lid=LSTCOMFS9YWTUCW6DEHTUFFN2&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMFS9YWTUCW6DEH.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4,492 Ratings & 57 Reviews,AMD Ryzen 3 Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) Display1 Year Onsite Warranty
3,Lenovo Ideapad 3 Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/Windows 10 Home) 15ADA05 Laptop,"₹28,990",https://www.flipkart.com/lenovo-ideapad-3-ryzen-dual-core-3250u-4-gb-1-tb-hdd-windows-10-home-15ada05-laptop/p/itm30a8f3dbe1e0c?pid=COMGY8Y5BH5PYMQN&lid=LSTCOMGY8Y5BH5PYMQNSCYQAJ&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=en_XlXmCOBgAwdWhPaamUGsmawr%2BTt%2Blz1d%2FK8D2hnbFyb%2FiPs%2B%2BZ19J0S728uFThXs1Bg7sJelmUoYbeju8%2BRsvw%3D%3D&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,3.9,35 Ratings & 5 Reviews,AMD Ryzen 3 Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty
4,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop,"₹32,990",https://www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15iil05-laptop/p/itm2d43f4361063a?pid=COMG24KVQJRGSAQY&lid=LSTCOMG24KVQJRGSAQY77ZKDU&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMG24KVQJRGSAQY.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.5,16 Ratings & 1 Reviews,Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office (Trial Only)1 Year Onsite Warranty
5,Lenovo Legion Y540 Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Ge...,"₹57,990",https://www.flipkart.com/lenovo-legion-y540-core-i5-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-y540-15irh-pg0-gaming-laptop/p/itm8a774a92e9b76?pid=COMFXZZMWZGM4MPJ&lid=LSTCOMFXZZMWZGM4MPJSWHXIX&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMFXZZMWZGM4MPJ.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.5,92 Ratings & 6 Reviews,Intel Core i5 Processor (9th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty
6,Lenovo Ideapad Flex 5 Ryzen 5 Hexa Core 4500U 4th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ARE05 2 in...,"₹56,990",https://www.flipkart.com/lenovo-ideapad-flex-5-ryzen-hexa-core-4500u-4th-gen-8-gb-512-gb-ssd-windows-10-home-14are05-2-1-laptop/p/itmbd22ea77a5348?pid=COMFTPG2V58JJW3N&lid=LSTCOMFTPG2V58JJW3NHBXL07&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMFTPG2V58JJW3N.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,5,3 Ratings & 0 Reviews,AMD Ryzen 5 Hexa Core Processor (4th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) Touchscreen DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty
7,Lenovo Ideapad S340 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) S340 L...,"₹57,990",https://www.flipkart.com/lenovo-ideapad-s340-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-2-graphics-laptop/p/itm3646950e65746?pid=COMFRSC69NDYVKHK&lid=LSTCOMFRSC69NDYVKHKISYTSG&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMFRSC69NDYVKHK.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.2,139 Ratings & 11 Reviews,Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty
8,Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop,"₹40,990",https://www.flipkart.com/lenovo-ideapad-s145-core-i5-10th-gen-8-gb-1-tb-hdd-windows-10-home-s145-15iil-laptop/p/itm492d07ca02f23?pid=COMFQQHE8YAKMMTX&lid=LSTCOMFQQHE8YAKMMTXVD1SXH&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMFQQHE8YAKMMTX.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4,"1,644 Ratings & 165 Reviews",Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) Display1 Year Onsite Warranty
9,Lenovo Ideapad S145 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) S145-15IIL Thin and Light Lap...,"₹32,990",https://www.flipkart.com/lenovo-ideapad-s145-core-i3-10th-gen-4-gb-256-gb-ssd-windows-10-home-s145-15iil-thin-light-laptop/p/itm92e3df60b52de?pid=COMFZX8YPEANZ2SM&lid=LSTCOMFZX8YPEANZ2SM0IZAVX&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMFZX8YPEANZ2SM.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.1,663 Ratings & 95 Reviews,Intel Core i3 Processor (10th Gen)4 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty
